adj_close,close,date,high,low,open,volume
null,1013.58,2005-01-05,1018.26,988.57,989.87,null
null,1005.47,2005-01-06,1014.97,1001.21,1014.97,null
null,1011.74,2005-01-07,1021.71,1001.10,1005.51,null
null,1023.64,2005-01-10,1023.64,1007.80,1011.92,null
null,1027.16,2005-01-11,1027.16,1017.79,1024.04,null
null,1024.92,2005-01-12,1026.74,1014.77,1026.74,null
null,1029.30,2005-01-13,1030.49,1020.67,1024.13,null
null,1011.88,2005-01-14,1034.59,1011.44,1028.99,null
null,986.66,2005-01-17,1002.33,984.38,1002.33,null
null,1008.11,2005-01-18,1008.48,985.67,985.67,null
null,1002.46,2005-01-19,1008.22,997.62,1007.11,null
null,989.44,2005-01-20,999.93,982.42,999.93,null
null,1006.25,2005-01-21,1007.92,966.08,987.43,null
null,1028.01,2005-01-24,1029.00,1016.09,1028.01,null
null,1015.10,2005-01-25,1023.10,1005.49,1023.10,null
null,1006.84,2005-01-26,1015.13,1004.61,1014.25,null
null,989.41,2005-01-27,1005.89,988.12,1005.89,null
null,963.00,2005-01-28,989.41,960.24,989.41,null
null,924.17,2005-01-31,954.94,923.13,954.94,null
null,905.80,2005-02-01,929.22,905.21,917.30,null
null,958.39,2005-02-02,959.99,904.13,904.13,null
null,936.86,2005-02-03,962.26,936.51,956.73,null
null,952.39,2005-02-04,954.91,934.96,937.15,null
null,966.38,2005-02-16,975.50,958.48,959.28,null
null,973.81,2005-02-17,973.81,957.80,966.04,null
null,964.00,2005-02-18,974.21,963.76,973.19,null
null,983.61,2005-02-21,983.68,963.58,963.58,null
null,1015.66,2005-02-22,1016.38,982.76,983.96,null
null,1032.89,2005-02-23,1038.91,1010.43,1016.77,null
null,1035.35,2005-02-24,1037.78,1023.30,1031.75,null
null,1032.41,2005-02-25,1046.99,1032.32,1034.54,null
null,1029.38,2005-02-28,1034.46,1021.86,1032.18,null
null,1030.82,2005-03-01,1031.54,1018.99,1028.61,null
null,1014.53,2005-03-02,1038.35,1013.83,1031.50,null
null,1020.25,2005-03-03,1021.45,1003.21,1011.26,null
null,1011.36,2005-03-04,1022.23,1009.84,1020.55,null
null,1013.59,2005-03-07,1016.56,1009.27,1011.81,null
null,1037.03,2005-03-08,1037.06,1014.26,1014.26,null
null,1042.18,2005-03-09,1044.01,1034.47,1039.51,null
null,1011.79,2005-03-10,1043.32,1008.40,1042.74,null
null,1017.45,2005-03-11,1018.11,1005.95,1009.98,null
null,1005.99,2005-03-14,1016.72,990.34,1016.72,null
null,993.48,2005-03-15,1007.55,991.23,1005.51,null
null,982.84,2005-03-16,991.77,977.60,991.75,null
null,967.59,2005-03-17,984.38,967.48,980.92,null
null,946.71,2005-03-18,969.38,943.69,965.17,null
null,950.79,2005-03-21,952.09,939.18,945.76,null
null,915.94,2005-03-22,951.15,915.73,950.80,null
null,915.97,2005-03-23,933.53,909.34,915.04,null
null,928.54,2005-03-24,928.68,906.58,914.47,null
null,923.20,2005-03-25,928.73,918.79,928.73,null
null,911.35,2005-03-28,921.89,896.95,921.89,null
null,904.82,2005-03-29,919.16,904.73,910.67,null
null,869.58,2005-03-30,902.01,868.89,902.01,null
null,880.90,2005-03-31,880.90,860.42,868.27,null
null,913.85,2005-04-01,921.49,870.60,880.26,null
null,896.29,2005-04-04,909.31,890.29,904.54,null
null,886.20,2005-04-05,898.45,884.66,894.29,null
null,898.88,2005-04-06,903.12,874.03,886.20,null
null,913.66,2005-04-07,925.78,897.65,898.60,null
null,931.38,2005-04-08,931.88,909.87,913.34,null
null,931.97,2005-04-11,940.15,924.60,930.52,null
null,905.87,2005-04-12,930.97,905.77,930.97,null
null,929.11,2005-04-13,929.66,908.76,908.76,null
null,916.35,2005-04-14,932.91,914.62,931.78,null
null,887.93,2005-04-15,912.67,886.01,912.67,null
null,868.33,2005-04-18,882.41,862.17,882.41,null
null,867.23,2005-04-19,871.67,856.70,867.35,null
null,844.93,2005-04-20,866.65,843.77,866.65,null
null,826.05,2005-04-21,846.79,820.48,843.57,null
null,806.64,2005-04-22,826.77,800.95,823.62,null
null,789.54,2005-04-25,794.46,778.24,792.11,null
null,806.94,2005-04-26,811.24,780.44,784.95,null
null,790.24,2005-04-27,809.90,789.96,809.90,null
null,813.63,2005-04-28,817.23,777.63,787.36,null
null,802.28,2005-04-29,814.27,801.00,812.84,null
null,771.08,2005-05-09,806.51,770.86,803.67,null
null,773.20,2005-05-10,773.20,746.65,767.78,null
null,772.08,2005-05-11,781.30,766.40,771.41,null
null,769.02,2005-05-12,778.23,761.26,772.16,null
null,779.49,2005-05-13,780.41,764.34,766.12,null
null,776.54,2005-05-16,778.48,770.59,778.48,null
null,785.44,2005-05-17,788.68,770.83,775.24,null
null,794.57,2005-05-18,794.76,780.58,785.25,null
null,794.49,2005-05-19,798.11,783.64,795.21,null
null,787.90,2005-05-20,797.34,787.57,794.71,null
null,758.68,2005-05-23,784.48,757.72,784.48,null
null,777.77,2005-05-24,782.26,753.40,756.41,null
null,781.99,2005-05-25,788.77,773.48,778.17,null
null,772.87,2005-05-26,784.46,770.66,781.52,null
null,767.27,2005-05-27,783.11,766.36,771.07,null
null,776.40,2005-05-30,777.65,761.48,764.93,null
null,775.74,2005-05-31,779.82,772.61,776.24,null
null,760.51,2005-06-01,775.55,755.93,775.55,null
null,756.82,2005-06-02,764.55,752.32,759.99,null
null,756.91,2005-06-03,762.25,747.06,755.93,null
null,766.73,2005-06-06,766.81,743.67,755.12,null
null,767.91,2005-06-07,780.69,763.67,767.27,null
null,826.23,2005-06-08,830.13,770.08,770.46,null
null,836.83,2005-06-09,848.34,815.38,825.58,null
null,820.00,2005-06-10,837.07,815.81,836.54,null
null,825.87,2005-06-13,828.71,810.45,821.90,null
null,807.36,2005-06-14,832.19,807.16,826.62,null
null,788.29,2005-06-15,805.59,786.85,805.59,null
null,797.43,2005-06-16,797.53,778.75,787.50,null
null,790.55,2005-06-17,801.79,786.99,799.17,null
null,813.12,2005-06-20,813.23,777.65,790.11,null
null,806.02,2005-06-21,815.00,803.07,813.87,null
null,810.03,2005-06-22,810.93,799.18,804.63,null
null,796.05,2005-06-23,809.02,794.54,807.94,null
null,799.70,2005-06-24,800.03,789.90,793.83,null
null,822.88,2005-06-27,828.18,804.25,804.25,null
null,807.64,2005-06-28,820.98,805.86,820.98,null
null,805.10,2005-06-29,812.73,804.08,809.28,null
null,781.83,2005-06-30,804.46,781.71,804.46,null
null,743.12,2005-07-01,779.48,742.13,779.48,null
null,734.95,2005-07-04,736.66,712.70,736.66,null
null,729.36,2005-07-05,738.87,722.22,732.54,null
null,727.06,2005-07-06,735.97,721.42,729.28,null
null,732.05,2005-07-07,737.01,723.96,726.93,null
null,706.74,2005-07-08,730.58,706.30,730.58,null
null,694.83,2005-07-11,726.19,693.62,709.05,null
null,720.57,2005-07-12,722.13,685.78,691.28,null
null,711.95,2005-07-13,719.75,708.64,718.90,null
null,711.58,2005-07-14,719.47,708.37,711.09,null
null,690.49,2005-07-15,716.43,688.69,712.13,null
null,669.03,2005-07-18,688.09,665.87,688.09,null
null,677.02,2005-07-19,677.92,663.35,667.76,null
null,682.12,2005-07-20,685.57,671.73,677.20,null
null,679.02,2005-07-21,683.23,668.03,682.97,null
